Date,EPEX Day Ahead Hourly Price
01/01/2023 01:00,49.5
01/01/2023 02:00,18
01/01/2023 03:00,0
01/01/2023 04:00,-1
01/01/2023 05:00,-4
01/01/2023 06:00,0
01/01/2023 07:00,0
01/01/2023 08:00,12
01/01/2023 09:00,64
01/01/2023 10:00,101.1
01/01/2023 11:00,120
01/01/2023 12:00,150
01/01/2023 13:00,154.4
01/01/2023 14:00,158.5
01/01/2023 15:00,131.9
01/01/2023 16:00,173.45
01/01/2023 17:00,195
01/01/2023 18:00,170.5
01/01/2023 19:00,150.7
01/01/2023 20:00,150.4
01/01/2023 21:00,147.7
01/01/2023 22:00,120.1
01/01/2023 23:00,150
02/01/2023 00:00,145.1
02/01/2023 01:00,146.1
02/01/2023 02:00,138
02/01/2023 03:00,128.2
02/01/2023 04:00,128.2
02/01/2023 05:00,133.6
02/01/2023 06:00,150
02/01/2023 07:00,123.6
02/01/2023 08:00,142.1
02/01/2023 09:00,161.8
02/01/2023 10:00,168
02/01/2023 11:00,168
02/01/2023 12:00,174
02/01/2023 13:00,170
02/01/2023 14:00,168.2
02/01/2023 15:00,171.4
02/01/2023 16:00,215.7
02/01/2023 17:00,248
02/01/2023 18:00,215.4
02/01/2023 19:00,183
02/01/2023 20:00,153.4
02/01/2023 21:00,170
02/01/2023 22:00,139
02/01/2023 23:00,188
03/01/2023 00:00,167.1
03/01/2023 01:00,160
03/01/2023 02:00,119.6
03/01/2023 03:00,101
03/01/2023 04:00,105.6
03/01/2023 05:00,122.9
03/01/2023 06:00,157.4
03/01/2023 07:00,142
03/01/2023 08:00,154.8
03/01/2023 09:00,158.3
03/01/2023 10:00,161
03/01/2023 11:00,156
03/01/2023 12:00,163.4
03/01/2023 13:00,157.9
03/01/2023 14:00,157.4
03/01/2023 15:00,145.2
03/01/2023 16:00,167.7
03/01/2023 17:00,170.1
03/01/2023 18:00,157
03/01/2023 19:00,168
03/01/2023 20:00,145.8
03/01/2023 21:00,122.1
03/01/2023 22:00,88.1
03/01/2023 23:00,56.7
04/01/2023 00:00,39.3
04/01/2023 01:00,21
04/01/2023 02:00,9.6
04/01/2023 03:00,5.6
04/01/2023 04:00,5.4
04/01/2023 05:00,31.5
04/01/2023 06:00,82.5
04/01/2023 07:00,118
04/01/2023 08:00,132
04/01/2023 09:00,146
04/01/2023 10:00,147.8
04/01/2023 11:00,136.1
04/01/2023 12:00,137.7
04/01/2023 13:00,134.4
04/01/2023 14:00,134.3
04/01/2023 15:00,129.5
04/01/2023 16:00,155.4
04/01/2023 17:00,171.4
04/01/2023 18:00,165.7
04/01/2023 19:00,169
04/01/2023 20:00,140
04/01/2023 21:00,115
04/01/2023 22:00,88
04/01/2023 23:00,72
05/01/2023 00:00,69.6
05/01/2023 01:00,60
05/01/2023 02:00,52
05/01/2023 03:00,60
05/01/2023 04:00,78
