Date,N2EX Day Ahead Hourly Price,Actual system demand,System Price BM
01/01/2023 00:30,,25472,200
01/01/2023 01:00,25.05,25381,199
01/01/2023 01:30,,24793,-17.14
01/01/2023 02:00,0.99,24420,-32.61
01/01/2023 02:30,,23893,-44
01/01/2023 03:00,0,23367,-44
01/01/2023 03:30,,22662,-48.04
01/01/2023 04:00,-0.01,22275,-43.98
01/01/2023 04:30,,22068,-17.74
01/01/2023 05:00,-0.01,22525,-32.61
01/01/2023 05:30,,22617,-44
01/01/2023 06:00,1,22991,-43.98
01/01/2023 06:30,,23310,-42.91
01/01/2023 07:00,12.04,23560,-45
01/01/2023 07:30,,23777,-43.18
01/01/2023 08:00,46.8,23942,-39.7
01/01/2023 08:30,,24167,-31.61
01/01/2023 09:00,109.04,23712,200
01/01/2023 09:30,,23607,200
01/01/2023 10:00,149.95,24349,200
01/01/2023 10:30,,24973,204
01/01/2023 11:00,138.29,26004,200
01/01/2023 11:30,,26806,204
01/01/2023 12:00,150.01,27954,204
01/01/2023 12:30,,28477,202
01/01/2023 13:00,159.12,28727,204
01/01/2023 13:30,,28936,200
01/01/2023 14:00,164.99,29141,202
01/01/2023 14:30,,29570,204.5
01/01/2023 15:00,134.81,30305,237.2303
01/01/2023 15:30,,30913,265
01/01/2023 16:00,169.96,32154,250
01/01/2023 16:30,,33184,250
01/01/2023 17:00,184.99,33970,265
01/01/2023 17:30,,33697,265
01/01/2023 18:00,184.95,32860,250
01/01/2023 18:30,,32169,50
01/01/2023 19:00,164,31281,250
01/01/2023 19:30,,30130,250
01/01/2023 20:00,150,29335,230
01/01/2023 20:30,,29040,217
01/01/2023 21:00,150.01,27788,230
01/01/2023 21:30,,26597,217
01/01/2023 22:00,130.1,25590,42
01/01/2023 22:30,,24613,290
01/01/2023 23:00,150.03,23645,236
01/01/2023 23:30,,22988,151.35
02/01/2023 00:00,185.25,22878,172.68
02/01/2023 00:30,,23233,182.34
02/01/2023 01:00,192.79,22829,42
02/01/2023 01:30,,22511,42
02/01/2023 02:00,164.7,22511,42
02/01/2023 02:30,,22450,15
02/01/2023 03:00,147.38,22044,0
02/01/2023 03:30,,21628,-66.55
02/01/2023 04:00,121.43,21356,-95.71
02/01/2023 04:30,,21283,-88
02/01/2023 05:00,125.27,20990,-60
02/01/2023 05:30,,21313,-50
02/01/2023 06:00,139.96,22122,0.1
02/01/2023 06:30,,22936,10
02/01/2023 07:00,125.91,24230,10
02/01/2023 07:30,,24719,10
02/01/2023 08:00,142.1,25919,-60
02/01/2023 08:30,,26740,10.21
02/01/2023 09:00,160.76,27813,10.21
02/01/2023 09:30,,28255,10.21
02/01/2023 10:00,157.96,28788,11
02/01/2023 10:30,,28694,50
02/01/2023 11:00,166.32,28608,15
02/01/2023 11:30,,28504,15
02/01/2023 12:00,160,28633,18
02/01/2023 12:30,,29041,37.91379
02/01/2023 13:00,165,28950,220
02/01/2023 13:30,,29020,220
02/01/2023 14:00,161.14,29658,60
02/01/2023 14:30,,30509,220
02/01/2023 15:00,151.38,31735,220
02/01/2023 15:30,,32970,229
02/01/2023 16:00,200,35088,229
02/01/2023 16:30,,37056,300
02/01/2023 17:00,244.99,38204,300
02/01/2023 17:30,,38520,300
02/01/2023 18:00,214.93,37825,300
02/01/2023 18:30,,36771,250
02/01/2023 19:00,183,35752,229
02/01/2023 19:30,,34678,258.5
02/01/2023 20:00,156.45,33438,229
02/01/2023 20:30,,32201,65.1
02/01/2023 21:00,174,30773,210
02/01/2023 21:30,,29617,65
02/01/2023 22:00,132.06,28021,65.16
02/01/2023 22:30,,26395,65
02/01/2023 23:00,169.99,24937,228.5
02/01/2023 23:30,,23878,89.88
03/01/2023 00:00,158.54,23817,213
03/01/2023 00:30,,24127,215
03/01/2023 01:00,149.92,24092,212
03/01/2023 01:30,,23681,212
03/01/2023 02:00,94.88,23421,212
03/01/2023 02:30,,23335,212
03/01/2023 03:00,87.8,22793,215
03/01/2023 03:30,,22349,205
03/01/2023 04:00,98.23,22098,212
03/01/2023 04:30,,22369,205
03/01/2023 05:00,118.37,23604,228.5
03/01/2023 05:30,,24356,215
03/01/2023 06:00,147.2,25051,205
03/01/2023 06:30,,26923,140
03/01/2023 07:00,147.4,29600,20
03/01/2023 07:30,,31415,60
03/01/2023 08:00,157.9,32191,215
03/01/2023 08:30,,33107,215
03/01/2023 09:00,162.99,34318,215
03/01/2023 09:30,,34644,70
03/01/2023 10:00,162.63,35358,215
03/01/2023 10:30,,35551,215
03/01/2023 11:00,156,36344,35
03/01/2023 11:30,,36679,214
03/01/2023 12:00,151.48,37265,213
03/01/2023 12:30,,37393,213
03/01/2023 13:00,155.43,37462,213
03/01/2023 13:30,,37164,214
03/01/2023 14:00,159.94,36621,214
03/01/2023 14:30,,36474,229.5
03/01/2023 15:00,157.22,36740,61.6
03/01/2023 15:30,,36997,225
03/01/2023 16:00,162.24,37925,37
03/01/2023 16:30,,38599,40
03/01/2023 17:00,160.3,39078,40
03/01/2023 17:30,,38722,225
03/01/2023 18:00,143.06,37719,225
03/01/2023 18:30,,36619,225
03/01/2023 19:00,160,35395,219.5
03/01/2023 19:30,,33877,36
03/01/2023 20:00,151.01,32607,106.78
03/01/2023 20:30,,31192,200
03/01/2023 21:00,115.5,29637,200
03/01/2023 21:30,,28073,87.69
03/01/2023 22:00,88.82,26832,200
03/01/2023 22:30,,25881,40.27013
03/01/2023 23:00,62.98,25762,12.69
03/01/2023 23:30,,25413,-5
04/01/2023 00:00,49.46,25402,-15
04/01/2023 00:30,,25820,-1.19
04/01/2023 01:00,29.48,25821,-21.46991
04/01/2023 01:30,,25308,-21.6
04/01/2023 02:00,10.39,25495,-34.57
04/01/2023 02:30,,25230,-43.87
04/01/2023 03:00,6.53,24980,-51.84
04/01/2023 03:30,,24592,-54
04/01/2023 04:00,10.05,24982,-51.0504
04/01/2023 04:30,,25118,-59
04/01/2023 05:00,35.64,25672,0
04/01/2023 05:30,,25983,1
04/01/2023 06:00,84.1,25632,18.3096
04/01/2023 06:30,,26669,34.35
04/01/2023 07:00,121.89,27718,70.88
04/01/2023 07:30,,29335,81
04/01/2023 08:00,138.06,30899,11
04/01/2023 08:30,,31306,10
04/01/2023 09:00,145.03,32274,10
04/01/2023 09:30,,32179,10
04/01/2023 10:00,144.01,32240,11.75
04/01/2023 10:30,,32182,11.75
04/01/2023 11:00,138.98,32115,25
04/01/2023 11:30,,32091,11.75
04/01/2023 12:00,144.01,32374,11.75
04/01/2023 12:30,,32246,12.5
04/01/2023 13:00,144.53,32141,192.5
04/01/2023 13:30,,31839,192.5
04/01/2023 14:00,132.41,32165,20
04/01/2023 14:30,,32447,12.5
04/01/2023 15:00,128.3,33079,11.75
04/01/2023 15:30,,34094,12
04/01/2023 16:00,166.3,35520,192.5
04/01/2023 16:30,,36895,192.5
04/01/2023 17:00,180.06,37411,209
04/01/2023 17:30,,37600,205
04/01/2023 18:00,169.92,37104,195
04/01/2023 18:30,,36390,26
04/01/2023 19:00,148.61,35631,194
04/01/2023 19:30,,34546,20.1
04/01/2023 20:00,151.46,33528,26
04/01/2023 20:30,,32182,185
04/01/2023 21:00,140.09,30576,185
04/01/2023 21:30,,29228,185
04/01/2023 22:00,87.41,27787,11.75
04/01/2023 22:30,,26901,0
04/01/2023 23:00,67.04,25901,34.71188
04/01/2023 23:30,,25524,28
05/01/2023 00:00,82.02,25562,24.31013
05/01/2023 00:30,,25783,184
05/01/2023 01:00,81.67,25660,179
05/01/2023 01:30,,25264,179
05/01/2023 02:00,76.56,25160,179
05/01/2023 02:30,,24901,174.5
05/01/2023 03:00,83.56,24024,8.9
05/01/2023 03:30,,23781,6.06
05/01/2023 04:00,90.2,23384,174.5
05/01/2023 04:30,,23373,180
05/01/2023 05:00,100.05,23296,179
05/01/2023 05:30,,23828,174.5
05/01/2023 06:00,138.9,25898,180
05/01/2023 06:30,,28112,179
05/01/2023 07:00,136.01,30762,172.53
05/01/2023 07:30,,32643,194.63
05/01/2023 08:00,149.08,33824,50
05/01/2023 08:30,,34224,50
05/01/2023 09:00,182.19,34951,60
05/01/2023 09:30,,35171,60
05/01/2023 10:00,184.59,34991,199
05/01/2023 10:30,,35235,60
05/01/2023 11:00,160.65,35145,61
05/01/2023 11:30,,34925,55
05/01/2023 12:00,139.91,34805,62.12
05/01/2023 12:30,,34986,62.5
05/01/2023 13:00,136.7,35238,70
05/01/2023 13:30,,35059,64.88
05/01/2023 14:00,138.61,35230,70.25
05/01/2023 14:30,,34908,70.77
05/01/2023 15:00,141.09,34937,71
05/01/2023 15:30,,35920,71.3
05/01/2023 16:00,158.29,37528,72.12
05/01/2023 16:30,,38676,134.97
05/01/2023 17:00,154.62,38819,164.44
05/01/2023 17:30,,38708,161.62
05/01/2023 18:00,145.38,37996,72.6
05/01/2023 18:30,,36997,76.5
05/01/2023 19:00,147.85,34449,76.5
05/01/2023 19:30,,32798,177
05/01/2023 20:00,137.42,31819,185
05/01/2023 20:30,,30603,185
05/01/2023 21:00,130.05,29041,182
05/01/2023 21:30,,27488,102.08
05/01/2023 22:00,103.01,26376,182
05/01/2023 22:30,,25685,80.23
05/01/2023 23:00,80.7,26582,182
05/01/2023 23:30,,26249,181.9
06/01/2023 00:00,76.08,26234,91.87
06/01/2023 00:30,,27078,182
06/01/2023 01:00,65.74,26456,177
06/01/2023 01:30,,25884,177
06/01/2023 02:00,52.65,25663,181.9
06/01/2023 02:30,,25520,182
06/01/2023 03:00,52.72,26035,177
06/01/2023 03:30,,25852,55.81
06/01/2023 04:00,55.02,25369,0.2
06/01/2023 04:30,,25164,-26.94
