Date,EPEX Intraday Auction 1 Price,EPEX Intraday Auction 1 Price
01/01/2023 00:30,68.2,68.2
01/01/2023 01:00,50.9,50.9
01/01/2023 01:30,34.5,34.5
01/01/2023 02:00,18.8,18.8
01/01/2023 02:30,3.8,3.8
01/01/2023 03:00,18.3,18.3
01/01/2023 03:30,-6.4,-6.4
01/01/2023 04:00,22.4,22.4
01/01/2023 04:30,0,0
01/01/2023 05:00,10,10
01/01/2023 05:30,16,16
01/01/2023 06:00,0,0
01/01/2023 06:30,48.2,48.2
01/01/2023 07:00,12.3,12.3
01/01/2023 07:30,37.7,37.7
01/01/2023 08:00,38.4,38.4
01/01/2023 08:30,100,100
01/01/2023 09:00,121,121
01/01/2023 09:30,156.8,156.8
01/01/2023 10:00,161,161
01/01/2023 10:30,175,175
01/01/2023 11:00,150.44,150.44
01/01/2023 11:30,175,175
01/01/2023 12:00,170,170
01/01/2023 12:30,180.37,180.37
01/01/2023 13:00,179.2,179.2
01/01/2023 13:30,173.51,173.51
01/01/2023 14:00,160,160
01/01/2023 14:30,160.4,160.4
01/01/2023 15:00,143,143
01/01/2023 15:30,156.6,156.6
01/01/2023 16:00,176.94,176.94
01/01/2023 16:30,199,199
01/01/2023 17:00,201.6,201.6
01/01/2023 17:30,203,203
01/01/2023 18:00,208,208
01/01/2023 18:30,192,192
01/01/2023 19:00,192,192
01/01/2023 19:30,184,184
01/01/2023 20:00,198.4,198.4
01/01/2023 20:30,183.84,183.84
01/01/2023 21:00,189.93,189.93
01/01/2023 21:30,173.2,173.2
01/01/2023 22:00,178.74,178.74
01/01/2023 22:30,157.59,157.59
01/01/2023 23:00,181.2,181.2
01/01/2023 23:30,152,152
02/01/2023 00:00,158.89,158.89
02/01/2023 00:30,185,185
02/01/2023 01:00,187,187
02/01/2023 01:30,163,163
02/01/2023 02:00,168,168
02/01/2023 02:30,165,165
02/01/2023 03:00,151,151
02/01/2023 03:30,144,144
02/01/2023 04:00,134.4,134.4
02/01/2023 04:30,129.59,129.59
02/01/2023 05:00,130,130
02/01/2023 05:30,128.3,128.3
02/01/2023 06:00,148,148
02/01/2023 06:30,138.2,138.2
02/01/2023 07:00,117.8,117.8
02/01/2023 07:30,135,135
02/01/2023 08:00,135.4,135.4
02/01/2023 08:30,155,155
02/01/2023 09:00,151.2,151.2
02/01/2023 09:30,165,165
02/01/2023 10:00,153.5,153.5
02/01/2023 10:30,151.7,151.7
02/01/2023 11:00,151,151
02/01/2023 11:30,156,156
02/01/2023 12:00,150.86,150.86
02/01/2023 12:30,150.8,150.8
02/01/2023 13:00,155,155
02/01/2023 13:30,148.8,148.8
02/01/2023 14:00,142.45,142.45
02/01/2023 14:30,139,139
02/01/2023 15:00,145,145
02/01/2023 15:30,151.4,151.4
02/01/2023 16:00,155,155
02/01/2023 16:30,200,200
02/01/2023 17:00,212.8,212.8
02/01/2023 17:30,211,211
02/01/2023 18:00,200.89,200.89
02/01/2023 18:30,172.21,172.21
02/01/2023 19:00,172.97,172.97
02/01/2023 19:30,166.63,166.63
02/01/2023 20:00,155,155
02/01/2023 20:30,130,130
02/01/2023 21:00,171.2,171.2
02/01/2023 21:30,132,132
02/01/2023 22:00,118,118
02/01/2023 22:30,79,79
02/01/2023 23:00,140.78,140.78
02/01/2023 23:30,118.84,118.84
03/01/2023 00:00,118.1,118.1
03/01/2023 00:30,130,130
03/01/2023 01:00,118.82,118.82
03/01/2023 01:30,91.15,91.15
03/01/2023 02:00,113.21,113.21
03/01/2023 02:30,88.79,88.79
03/01/2023 03:00,124,124
03/01/2023 03:30,83,83
03/01/2023 04:00,132,132
03/01/2023 04:30,99.95,99.95
03/01/2023 05:00,142,142
03/01/2023 05:30,140.52,140.52
03/01/2023 06:00,160.4,160.4
03/01/2023 06:30,169,169
03/01/2023 07:00,159,159
03/01/2023 07:30,170,170
03/01/2023 08:00,148.9,148.9
03/01/2023 08:30,175,175
03/01/2023 09:00,155,155
03/01/2023 09:30,175,175
03/01/2023 10:00,174.87,174.87
03/01/2023 10:30,178.33,178.33
03/01/2023 11:00,165.34,165.34
03/01/2023 11:30,172.8,172.8
03/01/2023 12:00,170,170
03/01/2023 12:30,175,175
03/01/2023 13:00,175,175
03/01/2023 13:30,170.73,170.73
03/01/2023 14:00,179.2,179.2
03/01/2023 14:30,168,168
03/01/2023 15:00,155,155
03/01/2023 15:30,172.3,172.3
03/01/2023 16:00,154.71,154.71
03/01/2023 16:30,188.8,188.8
03/01/2023 17:00,179.2,179.2
03/01/2023 17:30,169.6,169.6
03/01/2023 18:00,166.18,166.18
03/01/2023 18:30,140.8,140.8
03/01/2023 19:00,175,175
03/01/2023 19:30,160,160
03/01/2023 20:00,158.2,158.2
03/01/2023 20:30,122.58,122.58
03/01/2023 21:00,134.95,134.95
03/01/2023 21:30,60,60
03/01/2023 22:00,99,99
03/01/2023 22:30,43,43
03/01/2023 23:00,100,100
03/01/2023 23:30,21.41,21.41
04/01/2023 00:00,29.3,29.3
04/01/2023 00:30,40,40
04/01/2023 01:00,32.8,32.8
04/01/2023 01:30,15.87,15.87
04/01/2023 02:00,0.93,0.93
04/01/2023 02:30,-9.6,-9.6
04/01/2023 03:00,-6.51,-6.51
04/01/2023 03:30,-10.12,-10.12
04/01/2023 04:00,-4.4,-4.4
04/01/2023 04:30,-9,-9
04/01/2023 05:00,20,20
04/01/2023 05:30,49,49
04/01/2023 06:00,60,60
04/01/2023 06:30,124,124
04/01/2023 07:00,77,77
04/01/2023 07:30,142,142
04/01/2023 08:00,119.9,119.9
04/01/2023 08:30,137.21,137.21
04/01/2023 09:00,146.97,146.97
04/01/2023 09:30,147.38,147.38
04/01/2023 10:00,145,145
04/01/2023 10:30,140,140
04/01/2023 11:00,133.92,133.92
04/01/2023 11:30,130,130
04/01/2023 12:00,134,134
04/01/2023 12:30,127.93,127.93
